Image,Code,Rotation
140,1,0.04471893234409952
141,1,0.007752845729972597
142,1,0.008035839662276922
143,1,0.002256652887542884
144,1,0.005501653547562645
145,1,0.00400096712841721
146,1,0.010189368961449346
147,1,0.002752990761560102
148,1,0.009619811308475631
149,1,0.013585259278829661
150,1,0.009619811308475631
151,1,0.06363007270464917
152,1,0.004000966974749519
153,1,0.013585256952379218
154,1,0.002829743480113792
155,1,0.005644974981785682
156,1,0.06363007270464917
157,1,0.004000966344052878
158,1,0.004000965713356238
159,1,0.01018937017710781
160,1,0.008687607156468703
161,1,0.002437223911528841
162,1,0.04743147782035227
163,1,0.020153983304684844
164,1,0.0035523728551098027
165,1,0.008687608192250396
166,1,0.047431474785780484
167,1,0.0028297430939308696
168,1,0.0027529893248672897
169,1,0.020153985712536435
170,1,0.047431474785780484
171,1,0.02389643365757959
172,1,0.012760104128791895
173,1,0.002437223709851797
174,1,0.01963068333966023
175,1,0.0012737272643728113
176,1,0.013585253920751906
177,1,0.009150937072861654
178,1,0.003606492936276181
179,1,0.013585253920751906
180,1,0.03040584636689221
181,1,0.002437223709851797
182,1,0.006533582315957505
183,1,0.01018937340702784
184,1,0.07417927101899062
185,1,0.02389643674579905
186,1,0.006167957606792613
187,1,0.04223501803744748
188,1,0.023896436512037107
189,1,0.04223501803744748
190,1,0.07417927992483635
191,1,0.005644973255326767
192,1,0.005644972506247637
193,1,0.007602240657139221
194,1,0.002829742370245041
195,1,0.04743148045059315
196,1,0.0014174777317281738
197,1,0.013585250889130955
198,1,0.003606493366322217
199,1,0.047431474785780484
200,1,0.002711089129635157
201,1,0.007752842309098556
202,1,0.012760106383511051
203,1,0.009150935164193005
204,1,0.002256651056467835
205,1,0.010076319640663927
206,1,0.00550164968272661
207,1,0.0076022414893930825
208,1,0.002256651056467835
209,1,0.0076022414893930825
210,1,0.004000964775324215
211,1,0.012760107906325978
212,1,0.008687603652082772
213,1,0.007602238918574898
214,1,0.002906982844795474
215,1,0.0055016495991128565
216,1,0.04743148045059315
217,1,0.004000964144627575
218,1,0.020153985712536435
219,1,0.003606492767456534
220,1,0.004000964144627575
221,1,0.003606492767456534
222,1,0.00775284147710756
223,1,0.0018896760547673778
224,1,0.0018012263959811515
225,1,0.009150935164193005
226,1,0.005501651161771294
227,1,0.002752988801520343
